"campaign_id";"company_size";"industry";"marketing_channel";"ad_spend";"duration";"target_audience";"region";"device";"operating_system";"browser";"engagement_metric";"conversion_rate";"success";"budget_allocation";"audience_reach";"device_conversion_rate";"os_conversion_rate";"browser_conversion_rate";"total_conversions";"revenue";"ROAS";"CPA"
1;"11-50";"manufacturing";"email";41484;71;"18-34";"Europe";"tablet";"Android";"Safari";12547;0.141545;1;584.2816901;12547.0;0.7;0.8;0.7;1776.0;88798.3;2.14054;23.3581
2;"100+";"services";"influencer";23155;13;"55+";"Africa";"mobile";"Android";"Chrome";155190;0.498371967;1;1781.153846;258650.0;0.8;0.8;0.9;77342.0;6187390.0;267.216;0.299385
3;"51-100";"services";"content marketing";25838;68;"suburban";"North America";"tablet";"iOS";"Chrome";125296;0.213533274;1;379.9705882;139217.7778;0.7;0.9;0.9;26755.0;2140390.0;82.8388;0.965726
4;"11-50";"technology";"content marketing";28154;60;"35-54";"South America";"mobile";"Windows";"Chrome";121101;0.297613741;1;469.2333333;151376.25;0.8;0.7;0.9;36041.0;2883310.0;102.412;0.781166
5;"1-10";"manufacturing";"search engine";49035;58;"rural";"Asia-Pacific";"tablet";"iOS";"Firefox";482402;0.60457956;1;845.4310345;689145.7143;0.7;0.9;0.8;291650.0;14582500.0;297.39;0.16813
6;"1-10";"finance";"social media";35294;57;"35-54";"Africa";"mobile";"Windows";"Chrome";441403;0.599037854;1;619.1929825;551753.75;0.8;0.7;0.9;264417.0;39662600.0;1123.78;0.133479
7;"1-10";"e-commerce";"search engine";10273;10;"urban";"South America";"desktop";"Windows";"Chrome";109421;0.871805493;1;1027.3;91184.16667;0.9;0.7;0.9;95394.0;2861810.0;278.576;0.10769
8;"100+";"technology";"social media";13697;7;"rural";"Africa";"desktop";"Windows";"Firefox";104722;0.164580385;1;1956.714286;149602.8571;0.9;0.7;0.8;17235.0;1378820.0;100.665;0.79472
9;"51-100";"finance";"search engine";10628;72;"suburban";"Europe";"mobile";"iOS";"Safari";277800;0.497401785;1;147.6111111;308666.6667;0.8;0.9;0.7;138178.0;20726700.0;1950.2;0.0769153
10;"51-100";"finance";"search engine";42681;41;"suburban";"South America";"tablet";"iOS";"Chrome";465214;0.598832314;1;1041.0;516904.4444;0.7;0.9;0.9;278585.0;41787800.0;979.072;0.153206
11;"1-10";"finance";"content marketing";30414;83;"35-54";"North America";"desktop";"Windows";"Safari";99871;0.930469524;1;366.4337349;124838.75;0.9;0.7;0.7;92927.0;13939000.0;458.31;0.327289
12;"100+";"healthcare";"social media";49831;87;"35-54";"Europe";"tablet";"Android";"Firefox";263712;0.516423337;1;572.7701149;329640.0;0.7;0.8;0.8;136187.0;20428100.0;409.947;0.365901
13;"100+";"finance";"email";9718;16;"suburban";"North America";"tablet";"Windows";"Safari";314013;0.340661944;0;607.375;348903.3333;0.7;0.7;0.7;106972.0;16045800.0;1651.15;0.0908462
14;"11-50";"services";"email";24060;73;"35-54";"Africa";"desktop";"Android";"Firefox";484183;0.292138704;1;329.5890411;605228.75;0.9;0.8;0.8;141449.0;11315900.0;470.32;0.170097
15;"1-10";"retail";"search engine";5096;74;"18-34";"North America";"desktop";"Windows";"Firefox";403805;0.216099112;1;68.86486486;403805.0;0.9;0.7;0.8;87262.0;2617860.0;513.708;0.0583988
16;"1-10";"e-commerce";"search engine";23347;71;"35-54";"Europe";"tablet";"Windows";"Safari";335484;0.96236771;0;328.8309859;419355.0;0.7;0.7;0.7;322859.0;9685770.0;414.861;0.0723133
17;"11-50";"e-commerce";"content marketing";43169;57;"18-34";"Europe";"mobile";"Android";"Safari";368298;0.60293832;1;757.3508772;368298.0;0.8;0.8;0.7;222061.0;6661830.0;154.32;0.194402
18;"11-50";"services";"social media";35396;36;"rural";"Europe";"desktop";"Android";"Chrome";338399;0.303523286;0;983.2222222;483427.1429;0.9;0.8;0.9;102712.0;8216960.0;232.144;0.344614
19;"11-50";"e-commerce";"search engine";16058;45;"35-54";"Africa";"mobile";"iOS";"Firefox";265121;0.745113387;1;356.8444444;331401.25;0.8;0.9;0.8;197545.0;5926360.0;369.059;0.0812878
20;"11-50";"services";"email";17218;16;"55+";"Asia-Pacific";"mobile";"Android";"Safari";376480;0.289274913;1;1076.125;627466.6667;0.8;0.8;0.7;108906.0;8712500.0;506.011;0.1581
21;"51-100";"services";"social media";21982;50;"55+";"Africa";"desktop";"Windows";"Chrome";239376;0.503837739;1;439.64;398960.0;0.9;0.7;0.9;120607.0;9648530.0;438.929;0.182261
22;"1-10";"e-commerce";"search engine";37281;38;"rural";"Europe";"mobile";"iOS";"Firefox";429182;0.025976271;1;981.0789474;613117.1429;0.8;0.9;0.8;11149.0;334456.0;8.97123;3.34389
23;"11-50";"finance";"social media";8963;50;"rural";"Africa";"mobile";"Windows";"Chrome";481175;0.846570317;1;179.26;687392.8571;0.8;0.7;0.9;407348.0;61102300.0;6817.17;0.0220033
24;"11-50";"e-commerce";"content marketing";30004;69;"55+";"South America";"mobile";"iOS";"Chrome";251166;0.956551984;1;434.8405797;418610.0;0.8;0.9;0.9;240253.0;7207600.0;240.221;0.124885
25;"11-50";"healthcare";"email";28677;67;"rural";"South America";"mobile";"Windows";"Firefox";59278;0.865755338;1;428.0149254;84682.85714;0.8;0.7;0.8;51320.0;7698040.0;268.439;0.558788
26;"51-100";"services";"social media";49741;71;"18-34";"Asia-Pacific";"tablet";"Android";"Chrome";313983;0.171113722;1;700.5774648;313983.0;0.7;0.8;0.9;53727.0;4298140.0;86.4105;0.92581
27;"1-10";"finance";"email";6324;47;"18-34";"Africa";"mobile";"Windows";"Safari";456568;0.825271366;1;134.5531915;456568.0;0.8;0.7;0.7;376793.0;56518900.0;8937.2;0.0167838
28;"11-50";"finance";"search engine";32166;87;"urban";"Africa";"mobile";"Windows";"Chrome";49413;0.347007049;1;369.7241379;41177.5;0.8;0.7;0.9;17147.0;2572000.0;79.9602;1.8759
29;"11-50";"technology";"influencer";48374;18;"urban";"South America";"mobile";"iOS";"Chrome";31928;0.936281687;1;2687.444444;26606.66667;0.8;0.9;0.9;29894.0;2391490.0;49.4375;1.61818
30;"1-10";"technology";"social media";29495;8;"35-54";"Europe";"mobile";"Android";"Firefox";227474;0.299077897;1;3686.875;284342.5;0.8;0.8;0.8;68032.0;5442600.0;184.526;0.433546
31;"51-100";"e-commerce";"email";42932;79;"18-34";"North America";"tablet";"Android";"Safari";299902;0.089400791;1;543.443038;299902.0;0.7;0.8;0.7;26811.0;804344.0;18.7353;1.60128
32;"1-10";"finance";"social media";31092;82;"55+";"Europe";"tablet";"Windows";"Safari";397170;0.852920479;1;379.1707317;661950.0;0.7;0.7;0.7;338754.0;50813200.0;1634.28;0.0917834
33;"1-10";"finance";"search engine";6339;66;"55+";"Asia-Pacific";"tablet";"Windows";"Safari";262230;0.116646527;1;96.04545455;437050.0;0.7;0.7;0.7;30588.0;4588230.0;723.81;0.207238
34;"100+";"finance";"search engine";17286;31;"55+";"North America";"desktop";"iOS";"Safari";115304;0.541435083;0;557.6129032;192173.3333;0.9;0.9;0.7;62430.0;9364440.0;541.736;0.276886
35;"100+";"technology";"email";34235;67;"35-54";"Europe";"desktop";"iOS";"Chrome";241059;0.375947896;1;510.9701493;301323.75;0.9;0.9;0.9;90626.0;7250050.0;211.773;0.377761
36;"100+";"services";"content marketing";16595;28;"18-34";"Africa";"tablet";"Android";"Safari";104820;0.756854223;1;592.6785714;104820.0;0.7;0.8;0.7;79333.0;6346680.0;382.445;0.209182
37;"11-50";"finance";"social media";30552;62;"rural";"Africa";"desktop";"Android";"Safari";466923;0.748899543;1;492.7741935;667032.8571;0.9;0.8;0.7;349678.0;52451800.0;1716.8;0.0873718
38;"1-10";"services";"social media";18629;27;"35-54";"South America";"tablet";"iOS";"Firefox";55452;0.776137504;1;689.962963;69315.0;0.7;0.9;0.8;43038.0;3443070.0;184.823;0.43285
39;"51-100";"retail";"search engine";44234;61;"rural";"Africa";"mobile";"iOS";"Safari";84380;0.063282131;1;725.147541;120542.8571;0.8;0.9;0.7;5340.0;160192.0;3.62148;8.28352
40;"11-50";"e-commerce";"social media";34925;46;"suburban";"Africa";"tablet";"Windows";"Firefox";227987;0.858375341;1;759.2391304;253318.8889;0.7;0.7;0.8;195698.0;5870950.0;168.102;0.178464
41;"1-10";"finance";"email";43231;57;"suburban";"Asia-Pacific";"tablet";"Windows";"Safari";258898;0.466329759;1;758.4385965;287664.4444;0.7;0.7;0.7;120732.0;18109800.0;418.907;0.358074
42;"11-50";"e-commerce";"influencer";43258;28;"urban";"North America";"desktop";"iOS";"Chrome";80315;0.219184191;1;1544.928571;66929.16667;0.9;0.9;0.9;17604.0;528113.0;12.2085;2.45728
43;"1-10";"services";"search engine";17843;34;"rural";"Europe";"tablet";"iOS";"Safari";422883;0.298895814;1;524.7941176;604118.5714;0.7;0.9;0.7;126398.0;10111800.0;566.712;0.141165
44;"100+";"retail";"influencer";37035;10;"18-34";"Europe";"mobile";"iOS";"Firefox";326133;0.902742313;1;3703.5;326133.0;0.8;0.9;0.8;294414.0;8832420.0;238.489;0.125792
45;"11-50";"finance";"social media";28988;32;"rural";"Asia-Pacific";"tablet";"Windows";"Safari";484949;0.00599314;1;905.875;692784.2857;0.7;0.7;0.7;2906.0;435955.0;15.0392;9.97522
46;"51-100";"technology";"content marketing";37683;66;"rural";"North America";"tablet";"Android";"Chrome";6226;0.801722108;1;570.9545455;8894.285714;0.7;0.8;0.9;4992.0;399322.0;10.5969;7.54868
47;"11-50";"services";"email";37986;29;"55+";"Africa";"tablet";"iOS";"Firefox";76173;0.923929581;1;1309.862069;126955.0;0.7;0.9;0.8;70378.0;5630280.0;148.22;0.539743
48;"11-50";"e-commerce";"social media";38301;47;"18-34";"Asia-Pacific";"tablet";"Windows";"Chrome";105512;0.250054696;1;814.9148936;105512.0;0.7;0.7;0.9;26384.0;791513.0;20.6656;1.45168
49;"11-50";"finance";"email";19977;64;"rural";"Africa";"desktop";"Android";"Safari";122777;0.82200252;1;312.140625;175395.7143;0.9;0.8;0.7;100923.0;15138500.0;757.794;0.197943
50;"1-10";"finance";"social media";12951;14;"rural";"Europe";"desktop";"iOS";"Safari";372467;0.161089938;1;925.0714286;532095.7143;0.9;0.9;0.7;60001.0;9000100.0;694.935;0.215846
51;"100+";"finance";"social media";31071;57;"rural";"Asia-Pacific";"desktop";"Android";"Firefox";214200;0.016225216;1;545.1052632;306000.0;0.9;0.8;0.8;3475.0;521316.0;16.7782;8.94129
52;"51-100";"manufacturing";"social media";14565;67;"urban";"Asia-Pacific";"tablet";"Windows";"Chrome";458543;0.604574331;1;217.3880597;382119.1667;0.7;0.7;0.9;277223.0;13861200.0;951.676;0.0525389
53;"100+";"finance";"search engine";33715;7;"55+";"Asia-Pacific";"mobile";"Windows";"Chrome";146420;0.646202776;1;4816.428571;244033.3333;0.8;0.7;0.9;94617.0;14192600.0;420.957;0.356331
54;"100+";"manufacturing";"influencer";42109;36;"35-54";"Europe";"desktop";"iOS";"Firefox";297999;0.150142307;1;1169.694444;372498.75;0.9;0.9;0.8;44742.0;2237110.0;53.1267;0.941151
55;"11-50";"retail";"content marketing";42850;23;"55+";"Europe";"mobile";"Android";"Safari";159108;0.512467544;1;1863.043478;265180.0;0.8;0.8;0.7;81538.0;2446130.0;57.0859;0.525522
56;"100+";"manufacturing";"influencer";16334;29;"rural";"South America";"desktop";"Android";"Safari";431086;0.385491656;1;563.2413793;615837.1429;0.9;0.8;0.7;166180.0;8309000.0;508.694;0.098291
57;"1-10";"manufacturing";"influencer";31300;30;"rural";"Europe";"mobile";"Android";"Chrome";94475;0.076258139;1;1043.333333;134964.2857;0.8;0.8;0.9;7204.0;360224.0;11.5088;4.34481
58;"1-10";"finance";"email";24369;75;"suburban";"Europe";"tablet";"Android";"Firefox";67679;0.507742283;1;324.92;75198.88889;0.7;0.8;0.8;34363.0;5154520.0;211.52;0.709164
59;"1-10";"retail";"search engine";43362;58;"35-54";"Africa";"tablet";"Windows";"Chrome";14600;0.585136582;1;747.6206897;18250.0;0.7;0.7;0.9;8543.0;256290.0;5.91047;5.07573
60;"11-50";"services";"search engine";29401;77;"rural";"Europe";"desktop";"Android";"Safari";193099;0.217172058;0;381.8311688;275855.7143;0.9;0.8;0.7;41936.0;3354860.0;114.107;0.701092
61;"11-50";"services";"social media";49614;64;"55+";"North America";"mobile";"iOS";"Safari";22190;0.739779641;1;775.21875;36983.33333;0.8;0.9;0.7;16416.0;1313260.0;26.4695;3.0223
62;"11-50";"e-commerce";"influencer";25639;28;"35-54";"Africa";"tablet";"Windows";"Chrome";164479;0.072601445;1;915.6785714;205598.75;0.7;0.7;0.9;11941.0;358242.0;13.9726;2.14714
63;"100+";"retail";"content marketing";22388;65;"suburban";"South America";"tablet";"iOS";"Safari";113870;0.550995183;1;344.4307692;126522.2222;0.7;0.9;0.7;62742.0;1882250.0;84.0743;0.356826
64;"11-50";"services";"email";23506;50;"suburban";"North America";"tablet";"Android";"Safari";1793;0.303390215;1;470.12;1992.222222;0.7;0.8;0.7;544.0;43518.3;1.85137;43.2096
65;"11-50";"e-commerce";"search engine";17766;43;"18-34";"South America";"desktop";"Android";"Firefox";155350;0.436073075;1;413.1627907;155350.0;0.9;0.8;0.8;67744.0;2032320.0;114.394;0.262252
66;"11-50";"technology";"social media";11696;40;"rural";"Asia-Pacific";"mobile";"Windows";"Firefox";269326;0.893473535;1;292.4;384751.4286;0.8;0.7;0.8;240636.0;19250900.0;1645.93;0.0486045
67;"1-10";"technology";"content marketing";8981;63;"suburban";"Asia-Pacific";"desktop";"Android";"Firefox";227256;0.669954251;1;142.5555556;252506.6667;0.9;0.8;0.8;152251.0;12180100.0;1356.21;0.0589881
68;"100+";"finance";"influencer";21855;63;"suburban";"Asia-Pacific";"mobile";"iOS";"Safari";277315;0.148878591;1;346.9047619;308127.7778;0.8;0.9;0.7;41286.0;6192940.0;283.365;0.529356
69;"1-10";"retail";"content marketing";24789;46;"suburban";"Europe";"desktop";"Windows";"Firefox";404670;0.886306022;1;538.8913043;449633.3333;0.9;0.7;0.8;358661.0;10759800.0;434.057;0.0691154
70;"100+";"finance";"search engine";5308;26;"rural";"Europe";"tablet";"Android";"Chrome";400736;0.372833489;1;204.1538462;572480.0;0.7;0.8;0.9;149408.0;22411200.0;4222.15;0.0355269
71;"51-100";"finance";"email";45463;23;"urban";"Africa";"mobile";"iOS";"Safari";242629;0.341284526;1;1976.652174;202190.8333;0.8;0.9;0.7;82806.0;12420800.0;273.207;0.54903
72;"1-10";"finance";"influencer";32510;58;"suburban";"North America";"desktop";"Android";"Chrome";29547;0.501536422;1;560.5172414;32830.0;0.9;0.8;0.9;14819.0;2222830.0;68.3739;2.19381
73;"1-10";"technology";"email";34372;10;"18-34";"North America";"tablet";"Android";"Safari";123534;0.205293993;1;3437.2;123534.0;0.7;0.8;0.7;25361.0;2028860.0;59.0266;1.35531
74;"100+";"services";"content marketing";12707;69;"35-54";"Asia-Pacific";"tablet";"Android";"Chrome";445316;0.914235985;1;184.1594203;556645.0;0.7;0.8;0.9;407124.0;32569900.0;2563.15;0.0312116
75;"51-100";"finance";"content marketing";20522;56;"urban";"Asia-Pacific";"mobile";"Android";"Firefox";203848;0.467889029;1;366.4642857;169873.3333;0.8;0.8;0.8;95378.0;14306700.0;697.141;0.215165
76;"51-100";"services";"social media";40815;88;"35-54";"Europe";"desktop";"iOS";"Safari";171674;0.3938227;1;463.8068182;214592.5;0.9;0.9;0.7;67609.0;5408730.0;132.518;0.603692
